exercise_type,date_mm_dd_yyyy,reaction_time_avg_ms
biking,4/24/2026,302
biking,5/10/2026,
biking,4/24/2026,309
biking,4/26/2026,
biking,4/25/2026,269
biking,4/27/2026,296
biking,4/28/2026,
biking,5/16/2026,
biking,4/29/2026,
biking,5/20/2026,240
biking,5/21/2026,
biking,5/22/2026,294
biking,4/30/2026,255
biking,5/1/2026,
biking,5/2/2026,
biking,5/25/2026,
walking,5/2/2026,
walking,5/3/2026,
biking,5/11/2026,
biking,5/12/2026,
biking,5/13/2026,
biking,5/14/2026,
biking,5/15/2026,
biking,5/28/2026,
biking,5/17/2026,
biking,5/18/2026,239
biking,5/19/2026,308
biking,5/3/2026,
volleyball,4/28/2026,
biking,5/4/2026,309
biking,5/23/2026,
biking,5/24/2026,
volleyball,4/29/2026,
biking,5/26/2026,282
biking,5/27/2026,304
biking,5/27/2026,365
biking,5/5/2026,262
biking,5/29/2026,
volleyball,4/24/2026,272
volleyball,4/25/2026,
volleyball,4/26/2026,
volleyball,4/27/2026,
biking,5/6/2026,313
volleyball,5/2/2026,
volleyball,4/30/2026,292
volleyball,5/1/2026,
biking,5/7/2026,
volleyball,5/3/2026,
volleyball,5/4/2026,287
volleyball,5/4/2026,287
volleyball,5/5/2026,268
biking,5/8/2026,263
biking,5/9/2026,
volleyball,5/8/2026,283
volleyball,5/9/2026,
volleyball,5/10/2026,
volleyball,5/11/2026,
volleyball,5/12/2026,259
volleyball,5/13/2026,
volleyball,5/14/2026,
volleyball,5/15/2026,
volleyball,5/16/2026,
volleyball,5/17/2026,
volleyball,5/18/2026,298
volleyball,5/19/2026,292
volleyball,5/20/2026,
volleyball,5/21/2026,
volleyball,5/22/2026,294
volleyball,5/23/2026,
volleyball,5/24/2026,
volleyball,5/25/2026,
volleyball,5/26/2026,284
volleyball,5/27/2026,306
volleyball,5/29/2026,337
walking,4/24/2026,
walking,4/25/2026,
walking,4/26/2026,
walking,4/27/2026,
walking,4/28/2026,
walking,4/29/2026,
walking,4/30/2026,
walking,5/1/2026,
volleyball,5/6/2026,
volleyball,5/7/2026,
walking,5/4/2026,
walking,5/5/2026,
walking,5/6/2026,
walking,5/7/2026,
walking,5/8/2026,
walking,5/9/2026,
walking,5/10/2026,
walking,5/11/2026,264
walking,5/12/2026,279
walking,5/13/2026,
walking,5/14/2026,
walking,5/15/2026,
walking,5/16/2026,
walking,5/17/2026,
walking,5/18/2026,
walking,5/19/2026,
walking,5/20/2026,
walking,5/21/2026,
walking,5/22/2026,
walking,5/23/2026,
walking,5/24/2026,
walking,5/25/2026,
walking,5/26/2026,
walking,5/27/2026,
walking,5/28/2026,
walking,5/29/2026,